City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
158,Katsuura,JP,2020-12-16 04:47:33,35.13,140.3,53.01,45,40,20.8
159,Ust-Nera,RU,2020-12-16 04:47:33,64.57,143.2,-23.17,77,86,4.59
160,Auki,SB,2020-12-16 04:47:34,-8.77,160.7,83.57,78,88,8.43
161,Bodden Town,KY,2020-12-16 04:47:34,19.28,-81.25,79.0,84,40,5.99
162,Purwakarta,ID,2020-12-16 04:47:34,-6.56,107.44,84.2,70,40,19.46
163,Piacenza,IT,2020-12-16 04:47:34,45.05,9.7,43.0,87,100,2.55
164,Saskylakh,RU,2020-12-16 04:47:35,71.92,114.08,-32.78,83,35,3.02
165,Ponta Do Sol,PT,2020-12-16 04:47:35,32.67,-17.1,62.01,67,20,2.24
166,Kupino,RU,2020-12-16 04:47:35,54.37,77.3,5.14,95,98,7.52
167,Kibala,TD,2020-12-16 04:47:36,9.11,18.35,62.6,77,0,4.07
168,Westport,US,2020-12-16 04:46:55,41.14,-73.36,28.0,53,100,1.01
169,Luderitz,NA,2020-12-16 04:47:36,-26.65,15.16,60.8,77,0,3.36
170,Morehead,US,2020-12-16 04:47:36,37.27,-87.18,41.0,74,90,7.09
171,Srednekolymsk,RU,2020-12-16 04:47:37,67.45,153.68,-20.15,87,100,8.12
172,Ubaitaba,BR,2020-12-16 04:47:37,-14.31,-39.32,68.23,96,50,1.66
173,Kingaroy,AU,2020-12-16 04:47:37,-26.53,151.83,82.4,61,75,6.93
174,South Lake Tahoe,US,2020-12-16 04:47:06,38.93,-119.98,36.0,92,90,4.7
175,Bengkulu,ID,2020-12-16 04:43:38,-3.8,102.27,75.61,92,99,11.18
176,Presidencia Roque Saenz Pena,AR,2020-12-16 04:47:38,-26.79,-60.44,77.0,85,100,4.0
177,Bambanglipuro,ID,2020-12-16 04:47:38,-7.95,110.28,83.82,71,60,9.64
178,Vila Franca Do Campo,PT,2020-12-16 04:47:38,37.72,-25.43,59.0,82,40,4.7
179,Dhidhdhoo,MV,2020-12-16 04:47:39,6.88,73.1,82.2,67,74,10.2
180,Karpogory,RU,2020-12-16 04:47:39,64.0,44.45,10.62,96,92,4.25
181,Belmonte,BR,2020-12-16 04:47:39,-15.86,-38.88,73.4,88,40,3.36
182,Ossora,RU,2020-12-16 04:47:39,59.24,163.07,14.47,95,100,17.98
183,Keita,NE,2020-12-16 04:47:40,14.76,5.77,67.87,25,22,10.65
184,Iqaluit,CA,2020-12-16 04:47:40,63.75,-68.51,19.4,85,90,10.29
185,Pitimbu,BR,2020-12-16 04:47:40,-7.47,-34.81,77.0,88,20,5.82
186,Tautira,PF,2020-12-16 04:47:40,-17.73,-149.15,82.4,69,20,16.11
187,Florestopolis,BR,2020-12-16 04:47:41,-22.86,-51.39,75.2,83,0,1.12
188,Lucea,JM,2020-12-16 04:47:41,18.45,-78.17,77.0,83,20,4.7
189,Manali,IN,2020-12-16 04:47:41,13.17,80.27,82.4,78,75,9.17
190,Dikson,RU,2020-12-16 04:47:41,73.51,80.55,-15.02,89,98,2.89
191,Sampit,ID,2020-12-16 04:42:44,-2.53,112.95,93.31,47,100,4.63
192,Covington,US,2020-12-16 04:44:28,39.08,-84.51,32.0,91,90,5.82
193,Manokwari,ID,2020-12-16 04:43:19,-0.87,134.08,84.24,73,99,5.55
194,Kutum,SD,2020-12-16 04:47:42,14.2,24.67,53.13,43,43,2.86
195,Terney,RU,2020-12-16 04:47:42,45.05,136.61,7.14,77,100,14.2
196,Kalmunai,LK,2020-12-16 04:47:43,7.42,81.82,82.35,65,33,6.89
197,Touros,BR,2020-12-16 04:47:28,-5.2,-35.46,77.0,83,40,5.82
198,Porto Velho,BR,2020-12-16 04:43:51,-8.76,-63.9,73.4,94,90,3.36
199,Venado,MX,2020-12-16 04:47:43,22.93,-101.08,56.08,37,0,9.04
200,Bacolod,PH,2020-12-16 04:47:44,10.67,122.95,81.9,79,99,11.7
201,Lamar,US,2020-12-16 04:47:44,33.67,-95.58,34.0,100,90,6.93
202,Axim,GH,2020-12-16 04:47:44,4.87,-2.24,77.61,89,66,5.77
203,Kaminokawa,JP,2020-12-16 04:47:44,36.43,139.92,48.2,24,20,12.75
204,Itarema,BR,2020-12-16 04:47:45,-2.92,-39.92,79.27,79,81,12.17
205,Nome,US,2020-12-16 04:47:45,64.5,-165.41,19.4,85,90,18.34
206,Coihaique,CL,2020-12-16 04:47:45,-45.58,-72.07,46.4,65,0,5.82
207,Codrington,AU,2020-12-16 04:47:45,-38.27,141.97,59.07,94,100,13.67
208,Joensuu,FI,2020-12-16 04:47:46,62.6,29.76,33.01,100,90,12.75
209,Georgetown,MY,2020-12-16 04:47:46,5.41,100.34,87.8,79,20,5.82
210,Vila Velha,BR,2020-12-16 04:47:46,-20.33,-40.29,75.2,83,0,6.93
211,La Ronge,CA,2020-12-16 04:47:46,55.1,-105.28,3.2,84,100,4.7
212,Zhezkazgan,KZ,2020-12-16 04:47:46,47.8,67.71,0.21,91,0,5.82
213,San Javier,ES,2020-12-16 04:47:47,37.81,-0.84,53.01,87,0,2.24
214,Margate,GB,2020-12-16 04:45:03,51.38,1.39,48.99,85,60,5.99
215,Hammond,US,2020-12-16 04:47:47,41.58,-87.5,28.4,63,40,8.05
216,Kingman,US,2020-12-16 04:47:47,35.19,-114.05,35.6,43,1,11.41
217,Gus-Zheleznyy,RU,2020-12-16 04:47:48,55.06,41.17,17.65,98,81,2.57
218,Qianan,CN,2020-12-16 04:47:48,44.99,124.06,2.55,87,0,10.38
219,Berja,ES,2020-12-16 04:47:48,36.85,-2.95,50.0,76,75,5.82
220,Cape Town,ZA,2020-12-16 04:47:48,-33.93,18.42,64.0,77,0,12.75
221,Harper,LR,2020-12-16 04:47:48,4.38,-7.72,77.85,86,98,5.39
222,Gat,IL,2020-12-16 04:47:49,31.61,34.76,57.99,100,58,1.01
223,Mount Isa,AU,2020-12-16 04:47:49,-20.73,139.5,100.4,21,75,6.93
224,Yar-Sale,RU,2020-12-16 04:47:49,66.83,70.83,-3.55,91,100,13.91
225,Chapais,CA,2020-12-16 04:47:49,49.78,-74.85,-20.2,75,1,3.36
226,Dingle,PH,2020-12-16 04:47:50,11.0,122.67,81.95,82,100,14.61
227,Geraldton,AU,2020-12-16 04:47:50,-28.77,114.6,77.0,47,0,19.46
228,Duma,CN,2020-12-16 04:47:50,34.77,108.14,33.8,59,0,6.71
229,Chadiza,ZM,2020-12-16 04:47:50,-14.07,32.44,67.14,93,100,2.77
